study NAme,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup,exclude
negtracker,042713_04,5_1,male,yes,white,100,1,5,4,no,3.8,3,0
negtracker,042713_05,5_1,male,no,white,95,1,3,3,no,3.7,3,0
negtracker,042713_06,5_1,female,no,asian,95,2,4,6,no,4.3,4,0
negtracker,050213_01,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,050213_02,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,050213_03,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,050213_04,5_1,female,no,white,100,1,4,6,no,3.7,3,0
negtracker,050213_05,5_1,female,no,white,100,2,4,6,no,3,2,0
negtracker,050213_06,5_1,female,no,white,100,3,3,4,no,2.5,2,0
negtracker,050213_07,5_1,female,no,white,100,1,4,4,no,4.4,4,0
negtracker,050213_08,5_1,male,no,asian,100,2,6,6,no,4.1,4,0
negtracker,050213_09,5_1,male,no,pacific,100,1,3,3,no,2.2,2,0
negtracker,050213_10,5_1,male,no,white,95,2,6,6,no,3.5,3,0
negtracker,050413_01,5_3,female,no,white,100,1,4,3,no,2.8,2,0
negtracker,050413_02,5_4,male,no,other,75,2,4,3,no,3.9,3,0
negtracker,050413_03,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,050413_04,5_3,female,no,other,75,3,4,3,no,4,4,0
negtracker,050413_05,5_3,male,yes,NA,100,1,NA,NA,NA,2.7,2,0
negtracker,050413_06,5_3,female,no,asian,75,2,6,6,no,4.6,4,0
negtracker,050413_07,5_3,female,no,other,100,2,6,6,no,4.6,4,0
negtracker,050413_08,5_3,female,no,asian,75,3,6,6,no,4.1,4,0
negtracker,050913_01,5_1,female,no,asian,95,2,6,6,no,4.1,4,0
negtracker,050913_02,5_1,female,no,pacific,100,1,4,4,no,4.4,4,0
negtracker,050913_03,5_1,female,no,white,100,1,3,6,no,4.6,4,0
negtracker,050913_04,5_1,female,no,asian,95,3,6,6,yes,4.9,4,0
negtracker,052313_01,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_02,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_03,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_04,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_05,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_06,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_07,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_08,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_09,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_10,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_11,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052313_12,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,052513_01,5_1,male,no,white,100,1,6,4,no,4.3,4,0
negtracker,052513_02,5_1,male,no,white,100,1,4,NA,no,1.5,1,0
negtracker,052513_03,5_1,male,yes,white,95,2,4,3,no,4,4,3
negtracker,052513_04,5_1,female,yes,white,100,2,NA,NA,no,4.9,4,0
negtracker,052513_05,5_1,male,no,white,95,2,6,3,no,4.2,4,0
negtracker,052513_06,5_1,female,no,other,100,1,6,4,no,2.7,2,0
negtracker,052513_07,5_4,female,yes,white,75,2,2,NA,no,2.7,2,0
negtracker,052513_08,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,052513_09,5_4,male,no,white,100,2,4,2,no,4.6,4,0
negtracker,052513_10,5_4,female,no ,asian,95,2,6,4,no,2.6,2,0
negtracker,053013_01,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_02,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_03,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_04,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_05,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_06,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_07,5_3,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_08,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_09,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_10,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,053013_11,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,061213_01,5_2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,3
negtracker,061213_02,5_2,male,no,white,100,1,4,3,no,2.2,2,0
negtracker,061213_03,5_2,male,no,asian,50,2,6,4,no,4.8,4,1
negtracker,061213_04,5_2,male,no,white,100,2,6,4,no,5,4,0
